Number, Hànzì, Pīnyīn, English, French
0,"报","bào","Report","Signaler"
1,"炮","páo","gun","arme à feu"
2,"兔子","tù zǐ","rabbit","lapin"
3,"跑了","pǎo le","Ran","Couru"
4,"谁","shuí","Who","Qui"
5,"宾馆","bīn guǎn","Hotel","Hôtel"
6,"做","zuò","do","fais"
7,"邮局","yóu jú","post Office","bureau de poste"
8,"寄信","jì xìn","Send letter","Envoyer une lettre"
9,"警察","jǐng chá","Policemen","Policiers"
10,"职员","zhí yuán","Staff","Personnel"
11,"出生","chū shēng","Born","Née"
12,"属","shǔ","Belong to","Appartenir à"
13,"一直","yī zhí","Always","Toujours"
14,"往","wǎng","to","à"
15,"拐","guǎi","Abduct","Enlever"
16,"出租汽车","chū zū qì chē","taxi","Taxi"
17,"公共汽车","gōng gòng qì chē","bus","autobus"
18,"自行车","zì háng chē","bicycle","bicyclette"
19,"船","chuán","ferry","traversier"
20,"骑马","qí mǎ","horse riding","équitation"
21,"一共","yī gòng","Altogether","Tout à fait"
22,"找","zhǎo","Find","Trouve"
23,"种","zhǒng","Species","Espèce"
24,"练习","liàn xí","Exercise","Exercer"
25,"橡皮","xiàng pí","Rubber","Caoutchouc"
26,"大概","dà gài","probably","Probablement"
27,"跟","gēn","with","avec"
28,"书店","shū diàn","bookstore","librairie"
29,"磁带","cí dài","Tape","Enregistrer"
30,"毛衣","máo yī","Sweater","Chandail"
31,"试","shì","test","test"
32,"试衣间","shì yī jiān","Fitting room","Salle d'essayage"
33,"皮鞋","pí xié","leather shoes","chaussures en cuir"
34,"打折","dǎ zhē","Discount","Rabais"
35,"合适","hé shì","Suitable","Qui convient"
36,"师傅","shī fù","master","Maître"
37,"俩","liǎng","both","tous les deux"
38,"叉子","chā zǐ","fork","fourchette"
39,"借","jiè","borrow","emprunter"
40,"陪","péi","accompany","accompagner"
41,"照片","zhào piàn","photo","photo"
42,"得","dé","Get","Obtenir"
43,"自己","zì jǐ","Oneself","Soi-même"
44,"阅览室","yuè lǎn shì","Reading room","Salle de lecture"
45,"对了","duì le","correct","corriger"
46,"替","tì","for","pour"
47,"还","huán","also","également"
48,"顺便","shùn biàn","By the way","D'ailleurs"
49,"换","huàn","change","monnaie"
50,"汇率","huì shuài","exchange rate","taux de change"
51,"护照","hù zhào","passport","passeport"
52,"身份","shēn fèn","Identity","Identité"
53,"数","shù","number","numéro"
54,"签","qiān","sign","signe"
55,"取","qǔ","take","prendre"
56,"存折","cún zhē","Passbook","Livret"
57,"输入","shū rù","enter","Entrer"
58,"附近","fù jìn","nearby","proche"
59,"自动取款机","zì dòng qǔ kuǎn jī","ATM","AU M"
60,"邮局","yóu jú","post Office","bureau de poste"
61,"干","gān","dry","sec"
62,"寄","jì","send","envoyer"
63,"包裹","bāo guǒ","package","paquet"
64,"取","qǔ","take","prendre"
65,"单","dān","single","Célibataire"
66,"信封","xìn fēng","envelope","enveloppe"
67,"邮票","yóu piào","stamp","timbre"
68,"窗口","chuāng kǒu","window","la fenêtre"
69,"打","dǎ","hit","frappé"
70,"航空","háng kōng","aviation","aviation"
71,"普通","pǔ tōng","ordinary","ordinaire"
72,"纪念","jì niàn","commemorate","commémorer"
73,"国际","guó jì","International","International"
74,"租","zū","rent","location"
75,"套","tào","set","ensemble"
76,"房子","fáng zǐ","house","loger"
77,"租","zū","rent","location"
78,"厨房","chú fáng","kitchen","cuisine"
79,"就","jiù","on","au"
80,"卧室","wò shì","bedroom","chambre"
81,"客厅","kè tīng","living room","le salon"
82,"冰箱","bīng xiāng","refrigerator","réfrigérateur"
83,"洗衣机","xǐ yī jī","washing machine","Machine à laver"
84,"房租","fáng zū","rent","location"
85,"环境","huán jìng","surroundings","alentours"
86,"运动场","yùn dòng cháng","playground","Cour de récréation"
87,"考虑","kǎo lǜ","consider","considérer"
88,"应该","yīng gāi","should","devrait"
89,"书桌","shū zhuō","desk","bureau"
90,"椅子","yǐ zǐ","chair","chaise"
91,"空调","kōng tiáo","air conditioning","climatisation"
